name,wins,losses
Bulbasaur,0,0
Ivysaur,0,0
Venusaur,0,0
Charmander,0,0
Charmeleon,0,0
Charizard,8,0
Squirtle,0,0
Wartortle,0,0
Blastoise,0,0
Caterpie,0,0
Metapod,0,0
Butterfree,0,0
Weedle,0,0
Kakuna,0,0
Beedrill,0,0
Pidgey,0,0
Pidgeotto,0,0
Pidgeot,0,0
Rattata,0,0
Raticate,0,0
Spearow,0,0
Fearow,0,0
Ekans,0,0
Arbok,0,0
Pikachu,3,9
Raichu,0,1
Sandshrew,0,0
Sandslash,0,0
Nidoran♀,0,0
Nidorina,0,0
Nidoqueen,0,0
Nidoran♂,0,0
Nidorino,0,0
Nidoking,0,0
Clefairy,0,0
Clefable,0,0
Vulpix,0,0
Ninetales,0,0
Jigglypuff,0,0
Wigglytuff,0,0
Zubat,0,0
Golbat,0,0
Oddish,0,0
Gloom,0,0
Vileplume,0,0
Paras,0,0
Parasect,0,0
Venonat,0,0
Venomoth,0,0
Diglett,0,0
Dugtrio,0,0
Meowth,0,0
Persian,0,0
Psyduck,0,0
Golduck,0,0
Mankey,0,0
Primeape,0,0
Growlithe,0,0
Arcanine,0,0
Poliwag,0,0
Poliwhirl,0,0
Poliwrath,0,0
Abra,0,0
Kadabra,0,0
Alakazam,0,0
Machop,0,0
Machoke,0,0
Machamp,0,0
Bellsprout,0,0
Weepinbell,0,0
Victreebel,0,0
Tentacool,0,0
Tentacruel,0,0
Geodude,0,0
Graveler,0,0
Golem,0,0
Ponyta,0,0
Rapidash,0,0
Slowpoke,0,0
Slowbro,0,0
Magnemite,0,0
Magneton,0,0
Farfetch'd,0,0
Doduo,0,0
Dodrio,0,0
Seel,0,0
Dewgong,0,0
Grimer,0,0
Muk,0,0
Shellder,0,0
Cloyster,0,0
Gastly,0,1
Haunter,0,0
Gengar,0,0
Onix,0,0
Drowzee,0,0
Hypno,0,0
Krabby,0,0
Kingler,0,0
Voltorb,0,0
Electrode,0,0
Exeggcute,0,0
Exeggutor,0,0
Cubone,0,0
Marowak,0,0
Hitmonlee,0,0
Hitmonchan,0,0
Lickitung,0,0
Koffing,0,0
Weezing,0,0
Rhyhorn,0,0
Rhydon,0,0
Chansey,0,0
Tangela,0,0
Kangaskhan,0,0
Horsea,0,0
Seadra,0,0
Goldeen,0,0
Seaking,0,0
Staryu,0,0
Starmie,0,0
Mr. Mime,0,0
Scyther,0,0
Jynx,0,0
Electabuzz,0,0
Magmar,0,0
Pinsir,0,0
Tauros,0,0
Magikarp,0,0
Gyarados,0,0
Lapras,0,0
Ditto,0,0
Eevee,0,0
Vaporeon,0,0
Jolteon,0,0
Flareon,0,0
Porygon,0,0
Omanyte,0,0
Omastar,0,0
Kabuto,0,0
Kabutops,1,0
Aerodactyl,0,0
Snorlax,0,0
Articuno,0,0
Zapdos,0,0
Moltres,0,0
Dratini,0,0
Dragonair,0,0
Dragonite,0,0
Mewtwo,0,0
Mew,0,0
Chikorita,0,0
Bayleef,0,0
Meganium,0,0
Cyndaquil,0,0
Quilava,0,0
Typhlosion,0,0
Totodile,0,0
Croconaw,0,0
Feraligatr,0,0
Sentret,0,0
Furret,0,0
Hoothoot,0,0
Noctowl,0,0
Ledyba,0,0
Ledian,0,0
Spinarak,0,0
Ariados,0,0
Crobat,0,0
Chinchou,0,1
Lanturn,0,0
Pichu,0,0
Cleffa,0,0
Igglybuff,0,0
Togepi,0,0
Togetic,0,0
Natu,0,0
Xatu,0,0
Mareep,0,0
Flaaffy,0,0
Ampharos,0,0
Bellossom,0,0
Marill,0,0
Azumarill,0,0
Sudowoodo,0,0
Politoed,0,0
Hoppip,0,0
Skiploom,0,0
Jumpluff,0,0
Aipom,0,0
Sunkern,0,0
Sunflora,0,0
Yanma,0,0
Wooper,0,0
Quagsire,0,0
Espeon,0,0
Umbreon,0,0
Murkrow,0,0
Slowking,0,0
Misdreavus,0,0
Unown,0,0
Wobbuffet,0,0
Girafarig,0,0
Pineco,0,0
Forretress,0,0
Dunsparce,0,0
Gligar,0,0
Steelix,0,0
Snubbull,0,0
Granbull,0,0
Qwilfish,0,0
Scizor,0,0
Shuckle,0,0
Heracross,0,0
Sneasel,0,0
Teddiursa,0,0
Ursaring,0,0
Slugma,1,0
Magcargo,0,0
Swinub,0,0
Piloswine,0,0
Corsola,0,0
Remoraid,0,0
Octillery,0,1
Delibird,0,0
Mantine,0,0
Skarmory,0,0
Houndour,0,0
Houndoom,0,0
Kingdra,0,0
Phanpy,0,0
Donphan,0,0
Porygon2,0,0
Stantler,1,0
Smeargle,0,0
Tyrogue,0,0
Hitmontop,0,0
Smoochum,0,0
Elekid,0,0
Magby,0,0
Miltank,0,0
Blissey,0,0
Raikou,0,0
Entei,0,0
Suicune,0,0
Larvitar,0,0
Pupitar,0,0
Tyranitar,0,0
Lugia,1,0
Ho-Oh,0,0
Celebi,0,0
Treecko,0,0
Grovyle,0,0
Sceptile,0,0
Torchic,0,0
Combusken,0,1
Blaziken,0,0
Mudkip,0,0
Marshtomp,0,0
Swampert,0,0
Poochyena,0,0
Mightyena,0,0
Zigzagoon,0,0
Linoone,0,0
Wurmple,0,0
Silcoon,0,0
Beautifly,0,0
Cascoon,0,0
Dustox,0,0
Lotad,0,4
Lombre,0,0
Ludicolo,0,0
Seedot,0,0
Nuzleaf,0,0
Shiftry,0,0
Taillow,0,0
Swellow,0,0
Wingull,0,0
Pelipper,0,0
Ralts,0,0
Kirlia,0,0
Gardevoir,0,0
Surskit,0,0
Masquerain,0,0
Shroomish,0,0
Breloom,0,0
Slakoth,0,0
Vigoroth,0,0
Slaking,0,0
Nincada,0,0
Ninjask,0,0
Shedinja,0,0
Whismur,0,0
Loudred,0,0
Exploud,0,0
Makuhita,0,0
Hariyama,0,0
Azurill,0,0
Nosepass,0,0
Skitty,0,0
Delcatty,0,0
Sableye,0,0
Mawile,0,0
Aron,0,0
Lairon,0,0
Aggron,0,0
Meditite,0,0
Medicham,0,0
Electrike,0,0
Manectric,0,0
Plusle,0,0
Minun,0,0
Volbeat,0,0
Illumise,0,0
Roselia,0,0
Gulpin,0,0
Swalot,0,0
Carvanha,0,0
Sharpedo,0,0
Wailmer,0,0
Wailord,0,0
Numel,0,0
Camerupt,0,0
Torkoal,0,0
Spoink,0,0
Grumpig,0,0
Spinda,0,0
Trapinch,0,0
Vibrava,0,0
Flygon,0,0
Cacnea,0,0
Cacturne,0,0
Swablu,0,0
Altaria,0,0
Zangoose,0,0
Seviper,0,0
Lunatone,0,0
Solrock,0,0
Barboach,0,0
Whiscash,0,0
Corphish,0,0
Crawdaunt,0,0
Baltoy,0,0
Claydol,0,0
Lileep,0,0
Cradily,0,1
Anorith,0,0
Armaldo,0,0
Feebas,0,0
Milotic,0,0
Castform,0,0
Kecleon,0,0
Shuppet,0,0
Banette,0,0
Duskull,0,0
Dusclops,0,0
Tropius,1,0
Chimecho,0,0
Absol,0,0
Wynaut,0,0
Snorunt,0,0
Glalie,0,0
Spheal,0,0
Sealeo,0,0
Walrein,0,0
Clamperl,0,0
Huntail,0,0
Gorebyss,0,0
Relicanth,0,0
Luvdisc,0,0
Bagon,0,0
Shelgon,0,0
Salamence,0,0
Beldum,0,0
Metang,0,0
Metagross,0,0
Regirock,0,0
Regice,0,0
Registeel,0,0
Latias,0,0
Latios,0,0
Kyogre,0,0
Groudon,0,0
Rayquaza,1,0
Jirachi,0,0
Deoxys,0,0
Turtwig,0,0
Grotle,0,0
Torterra,0,0
Chimchar,0,0
Monferno,0,0
Infernape,0,0
Piplup,0,0
Prinplup,0,0
Empoleon,0,0
Starly,0,0
Staravia,0,0
Staraptor,0,0
Bidoof,0,0
Bibarel,0,0
Kricketot,0,0
Kricketune,0,0
Shinx,0,0
Luxio,0,0
Luxray,0,1
Budew,0,0
Roserade,0,0
Cranidos,0,0
Rampardos,0,0
Shieldon,0,0
Bastiodon,1,0
Burmy,0,0
Wormadam,0,0
Mothim,0,0
Combee,0,1
Vespiquen,0,0
Pachirisu,0,0
Buizel,0,0
Floatzel,0,0
Cherubi,0,0
Cherrim,0,0
Shellos,0,0
Gastrodon,0,0
Ambipom,0,0
Drifloon,0,0
Drifblim,0,0
Buneary,0,0
Lopunny,0,0
Mismagius,0,0
Honchkrow,0,0
Glameow,0,0
Purugly,0,0
Chingling,0,0
Stunky,0,0
Skuntank,0,0
Bronzor,0,0
Bronzong,0,0
Bonsly,0,0
Mime Jr.,0,1
Happiny,0,0
Chatot,0,0
Spiritomb,0,0
Gible,0,0
Gabite,1,0
Garchomp,0,0
Munchlax,0,0
Riolu,0,0
Lucario,0,0
Hippopotas,0,0
Hippowdon,0,0
Skorupi,0,0
Drapion,0,0
Croagunk,0,0
Toxicroak,0,0
Carnivine,0,0
Finneon,0,0
Lumineon,0,0
Mantyke,0,0
Snover,0,0
Abomasnow,0,0
Weavile,0,0
Magnezone,0,0
Lickilicky,0,0
Rhyperior,0,0
Tangrowth,0,0
Electivire,0,0
Magmortar,0,0
Togekiss,0,0
Yanmega,0,0
Leafeon,0,0
Glaceon,0,0
Gliscor,0,0
Mamoswine,0,2
Porygon-Z,0,0
Gallade,0,0
Probopass,0,0
Dusknoir,0,0
Froslass,0,0
Rotom,0,0
Uxie,0,0
Mesprit,0,0
Azelf,0,0
Dialga,0,0
Palkia,0,0
Heatran,0,0
Regigigas,0,0
Giratina,0,0
Cresselia,0,0
Phione,0,0
Manaphy,0,0
Darkrai,0,0
Shaymin,0,0
Arceus,5,0
Victini,0,0
Snivy,0,0
Servine,0,0
Serperior,0,0
Tepig,0,0
Pignite,0,0
Emboar,0,2
Oshawott,0,0
Dewott,0,0
Samurott,0,0
Patrat,0,0
Watchog,0,0
Lillipup,0,0
Herdier,0,0
Stoutland,0,0
Purrloin,0,0
Liepard,0,0
Pansage,0,0
Simisage,0,0
Pansear,0,0
Simisear,0,1
Panpour,0,0
Simipour,0,0
Munna,0,0
Musharna,1,0
Pidove,0,0
Tranquill,0,0
Unfezant,0,0
Blitzle,0,0
Zebstrika,0,0
Roggenrola,0,0
Boldore,0,0
Gigalith,0,0
Woobat,0,0
Swoobat,0,0
Drilbur,0,0
Excadrill,0,0
Audino,0,0
Timburr,0,0
Gurdurr,0,0
Conkeldurr,0,0
Tympole,0,0
Palpitoad,0,0
Seismitoad,0,0
Throh,0,0
Sawk,0,0
Sewaddle,0,0
Swadloon,0,0
Leavanny,0,0
Venipede,0,0
Whirlipede,0,0
Scolipede,0,0
Cottonee,0,0
Whimsicott,0,0
Petilil,0,0
Lilligant,0,0
Basculin,0,0
Sandile,0,0
Krokorok,0,0
Krookodile,0,0
Darumaka,0,0
Darmanitan,0,0
Maractus,0,0
Dwebble,0,0
Crustle,0,0
Scraggy,0,0
Scrafty,0,0
Sigilyph,0,0
Yamask,0,0
Cofagrigus,0,0
Tirtouga,0,0
Carracosta,0,0
Archen,0,0
Archeops,0,0
Trubbish,0,0
Garbodor,0,0
Zorua,0,0
Zoroark,0,0
Minccino,0,0
Cinccino,0,0
Gothita,0,0
Gothorita,0,0
Gothitelle,0,0
Solosis,0,0
Duosion,0,0
Reuniclus,0,0
Ducklett,0,0
Swanna,1,0
Vanillite,0,0
Vanillish,0,0
Vanilluxe,0,0
Deerling,0,0
Sawsbuck,0,0
Emolga,0,0
Karrablast,0,0
Escavalier,0,0
Foongus,0,0
Amoonguss,0,0
Frillish,0,0
Jellicent,0,0
Alomomola,0,0
Joltik,0,0
Galvantula,0,0
Ferroseed,0,0
Ferrothorn,0,0
Klink,0,0
Klang,0,0
Klinklang,0,0
Tynamo,0,0
Eelektrik,0,0
Eelektross,0,0
Elgyem,0,0
Beheeyem,0,0
Litwick,0,0
Lampent,0,0
Chandelure,0,0
Axew,0,0
Fraxure,0,0
Haxorus,0,0
Cubchoo,0,0
Beartic,0,0
Cryogonal,0,0
Shelmet,1,0
Accelgor,0,0
Stunfisk,0,0
Mienfoo,0,0
Mienshao,0,0
Druddigon,0,0
Golett,0,0
Golurk,0,0
Pawniard,0,0
Bisharp,0,0
Bouffalant,0,0
Rufflet,0,0
Braviary,0,0
Vullaby,0,0
Mandibuzz,0,0
Heatmor,1,1
Durant,0,0
Deino,0,0
Zweilous,0,0
Hydreigon,1,0
Larvesta,0,0
Volcarona,0,0
Cobalion,0,0
Terrakion,0,0
Virizion,0,0
Tornadus,0,0
Thundurus,0,0
Reshiram,0,0
Zekrom,0,0
Landorus,0,0
Kyurem,0,0
Keldeo,0,0
Meloetta,0,0
Genesect,0,0
Chespin,0,0
Quilladin,0,0
Chesnaught,0,0
Fennekin,0,0
Braixen,0,0
Delphox,0,0
Froakie,0,1
Frogadier,0,0
Greninja,0,0
Bunnelby,0,0
Diggersby,0,0
Fletchling,0,0
Fletchinder,0,0
Talonflame,0,0
Scatterbug,0,0
Spewpa,0,0
Vivillon,0,0
Litleo,0,0
Pyroar,0,0
Flabébé,0,0
Floette,0,0
Florges,0,0
Skiddo,0,0
Gogoat,0,0
Pancham,0,0
Pangoro,0,0
Furfrou,0,0
Espurr,0,0
Meowstic,0,0
Honedge,0,0
Doublade,0,0
Aegislash,0,0
Spritzee,0,0
Aromatisse,0,0
Swirlix,0,0
Slurpuff,0,0
Inkay,0,0
Malamar,0,0
Binacle,0,0
Barbaracle,0,0
Skrelp,0,0
Dragalge,0,0
Clauncher,0,0
Clawitzer,0,0
Helioptile,0,1
Heliolisk,0,0
Tyrunt,0,0
Tyrantrum,0,0
Amaura,0,0
Aurorus,0,1
Sylveon,0,0
Hawlucha,0,0
Dedenne,0,0
Carbink,0,0
Goomy,0,0
Sliggoo,0,0
Goodra,0,0
Klefki,0,0
Phantump,0,0
Trevenant,0,0
Pumpkaboo,0,0
Gourgeist,0,0
Bergmite,0,0
Avalugg,0,0
Noibat,0,0
Noivern,0,0
Xerneas,0,0
Yveltal,0,0
Zygarde,0,0
Diancie,0,0
Hoopa,0,0
Volcanion,1,0
Rowlet,0,0
Dartrix,0,0
Decidueye,0,0
Litten,0,0
Torracat,0,0
Incineroar,0,0
Popplio,0,0
Brionne,0,0
Primarina,0,0
Pikipek,0,0
Trumbeak,0,0
Toucannon,0,0
Yungoos,0,0
Gumshoos,0,0
Grubbin,0,0
Charjabug,0,0
Vikavolt,0,0
Crabrawler,0,0
Crabominable,0,0
Oricorio,0,0
Cutiefly,0,0
Ribombee,0,0
Rockruff,0,0
Lycanroc,0,0
Wishiwashi,0,0
Mareanie,0,0
Toxapex,0,0
Mudbray,0,0
Mudsdale,0,0
Dewpider,0,0
Araquanid,0,0
Fomantis,0,0
Lurantis,0,0
Morelull,0,0
Shiinotic,0,0
Salandit,0,0
Salazzle,0,1
Stufful,0,0
Bewear,0,0
Bounsweet,0,1
Steenee,0,0
Tsareena,0,0
Comfey,0,0
Oranguru,0,0
Passimian,0,0
Wimpod,0,0
Golisopod,0,0
Sandygast,0,0
Palossand,0,0
Pyukumuku,0,0
Type: Null,0,0
Silvally,0,0
Minior,0,0
Komala,0,0
Turtonator,0,0
Togedemaru,0,0
Mimikyu,0,0
Bruxish,0,0
Drampa,0,0
Dhelmise,0,0
Jangmo-o,0,0
Hakamo-o,0,0
Kommo-o,0,0
Tapu Koko,0,0
Tapu Lele,0,0
Tapu Bulu,0,0
Tapu Fini,0,0
Cosmog,0,0
Cosmoem,0,0
Solgaleo,0,0
Lunala,0,0
Nihilego,0,0
Buzzwole,0,0
Pheromosa,0,0
Xurkitree,0,0
Celesteela,0,0
Kartana,0,0
Guzzlord,0,0
Necrozma,0,0
Magearna,0,0
